"PLANT_ID","LIB","ALIAS","VCF_NAME","ACC","NAT_PAPER_LIB","PLANTED_2018","COVERAGE_CATEGORY","COLLECTION_TYPE","COLLECTION_METHOD","TAXON","SOURCE_ID_1","SOURCE_ID_2","LIB_NOTES","COLL_DATE","LATITUDE","LONGITUDE","ELEVATION","NOTE_LATLONG","COUNTRY","STATE","COUNTY","LOCALITY","APPROX_COVERAGE","APPROX_BP_MAPPED","GOOD_PAIRED_READS","MINOR_LIB","MINOR_LIB_COV","MINOR_LIB_VCF_NAME","OLD_META_PLOIDY","PLD_SNP","NQUIRE_CDS_20","NQUIRE_FULL_20","NQUIRE_NSNPS_20","NQUIRE_PLOIDY","NQUIRE_CONFIDENCE","MINOR_LIB_NQUIRE_CDS_20","MNP_CDS_PLOIDY","MNP_GENIC_PLOIDY","OLD_TOT_PLOIDY","OLD_TOT_PLOIDY_CONFIDENCE","UNI_ACC","PPG_FILT_NOTE","PPG_NATIVE","PPG_CONTAMINANT"
"J316.A","IHXQ",NA,"J316.A","J316","Y","Y","paper_732g","Breeding Selection","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","GA993",NA,"NA",NA,NA,NA,NA,"Need Info From Nobel",NA,NA,NA,"NAM Parent Lines from Ardmore-Malay",33.25,37567450800,250449672,NA,NA,NA,"4X","4X","4X",NA,861499,"4X",1,NA,"4X","4X","4X",4,"NAM_PARENTS_GA993","Should be ""Breeding Selection""; in Alamo cluster; is probably Alamo; looks like clone of NFGA34_08","F","F"
"J016.C","IHXR",NA,"J016.C","J016","Y","Y","paper_732g","Cultivar","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","14_2","PI 421521","NA","1/1/57",35.26,-96.18,250,"Developed by KSU","USA","Oklahoma","Huges","Kanlow: Near Wetumka",40.37,45615126000,304100840,NA,NA,NA,"4X","4X","4X",NA,699603,"4X",1,NA,"4X","4X","4X",4,"KANLOW",NA,NA,NA
"J352.C","IHXS",NA,"J352.C","J352","Y","Y","paper_732g","Natural Collection","Field Seed Collection From Single Plant","Panicum virgatum","19C","NERP","NA","1/1/09",39.8391167,-83.5731,349,NA,"USA","Ohio","Madison","Total Prairie Size- ~2ha",34.11,38543814000,256958760,NA,NA,NA,"4X","4X","4X",NA,835767,"4X",1,NA,"4X","4X","4X",4,"NERP",NA,NA,NA
"J003.B","IHXT",NA,"J003.B","J003","Y","Y","paper_732g","Breeding Selection","Dug up from established common garden at the Noble Foundataion in Ardmore, OK","Panicum virgatum","1_11","PI 315723","NA",NA,35.029935,-79.547826,128,NA,"USA","North Carolina","Richmond","Hoffman, NC",37.82,42727023600,284846824,NA,NA,NA,"4X","4X","4X",NA,1148983,"4X",1,NA,"4X","4X","4X",4,"HOFFMAN",NA,NA,NA
"J258.A","IHXU",NA,"J258.A","J258","Y","Y","paper_732g","Natural Collection","Supplied by Mike Casler","Panicum virgatum","Helen Allison","Helen Allison","NA",NA,45.3815,-93.1641,284,NA,"USA","Minnesota","Anoka",NA,35.41,40011870000,266745800,NA,NA,NA,"4X","4X","4X",NA,942482,"4X",1,NA,"4X","4X","4X",4,"HELEN_ALLISON",NA,NA,NA
"J430.B","IHXY",NA,"J430.B","J430","Y","Y","paper_732g","Natural Collection","Dug up from established common garden at Cornell in Ithica, NY","Panicum virgatum","4105B","SW799","NA",NA,41.04,-71.93,3,NA,"USA","New York","Suffolk","TRC Park PV#3",31.11,35146663200,234311088,NA,NA,NA,"4X","4X","4X",NA,815625,"4X",1,NA,"4X","4X","4X",4,"SW799",NA,NA,NA
"J585.A","IHYA",NA,"J585.A","J585","Y","Y","paper_732g","Natural Collection","Rhizome Plug Dug from Single Individual in a Natural Population","Panicum virgatum","PICP 1",NA,"NA","11/16/15",32.86471,-79.83733,1,NA,"USA","South Carolina","Charleston","Palmetto Island County Park",37.16,41981684100,279877894,NA,NA,NA,"4X","4X","4X",NA,1085715,"4X",1,NA,"4X","4X","4X",4,"PICP",NA,NA,NA
"J394.B","IHYC",NA,"J394.B","J394","Y","Y","paper_732g","Natural Collection","Dug up from established common garden at Cornell in Ithica, NY","Panicum virgatum","502B","SW43","NA",NA,42.3,-84.28,290,NA,"USA","Michigan","Jackson","Jackson",36.28,40996568850,273310459,NA,NA,NA,"4X","4X","4X",NA,920131,"4X",1,NA,"4X","4X","4X",4,"SW43",NA,NA,NA
"J538.C","IHYE",NA,"J538.C","J538","Y","Y","paper_732g","Natural Collection","Grown from GRIN Seed Packet In Austin","Panicum virgatum","PI 674676",NA,"NA",NA,41.017143,-72.001407,43,NA,"USA","New York","Suffolk","TRC Park, Suffolk County. Major Land Resource Area 149B.",32.95,37224893400,248165956,NA,NA,NA,"4X","4X","4X",NA,844267,"4X",1,NA,"4X","?X","4X",3,"PI_674676",NA,NA,NA
"J262.A","IHYF",NA,"J262.A","J262","Y","N","paper_732g","Natural Collection","Supplied by Mike Casler","Panicum virgatum","Lundblad","Lundblad","NA",NA,43.9345,-95.7229,475,NA,"USA","Minnesota","Murray",NA,28.91,32665528500,217770190,NA,NA,NA,"4X","4X","4X",NA,1044980,"4X",1,NA,"4X","?X","4X",3,"LUNDBLAD",NA,NA,NA
